Number of keys,Algorithm,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
10000000,AceHash;2;0.7;1;0;0;0,3,40000000,1.09698,0.105435,0.0106151
10000000,AceHash;2;0.7;1;0;0;0,4,40000000,1.09839,0.104718,0.0106217
10000000,AceHash;2;0.7;1;1;0;0,0,40000000,0.674569,0.118146,0.0119877
10000000,AceHash;2;0.7;1;1;0;0,1,40000000,0.674472,0.117962,0.0119707
10000000,AceHash;2;0.7;1;1;0;0,2,40000000,0.674459,0.117908,0.0119777
10000000,AceHash;2;0.7;1;1;0;0,3,40000000,0.67458,0.117946,0.0119778
10000000,AceHash;2;0.7;1;1;0;0,4,40000000,0.675046,0.118135,0.0119616
10000000,AceHash;2;0.7;1;1;1;0,0,40000000,0.67395,0.0812817,0.00825414
10000000,AceHash;2;0.7;1;1;1;0,1,40000000,0.675317,0.0817973,0.0082734
10000000,AceHash;2;0.7;1;1;1;0,2,40000000,0.674289,0.0817878,0.00824761
10000000,AceHash;2;0.7;1;1;1;0,3,40000000,0.675248,0.0818266,0.00822657
10000000,AceHash;2;0.7;1;1;1;0,4,40000000,0.674201,0.0818254,0.00825141
10000000,AceHash;2;0.7;1;1;1;1,0,40000000,0.150046,0.081702,0.00825637
10000000,AceHash;2;0.7;1;1;1;1,1,40000000,0.150236,0.0816431,0.0082284
10000000,AceHash;2;0.7;1;1;1;1,2,40000000,0.150211,0.0809062,0.00823654
10000000,AceHash;2;0.7;1;1;1;1,3,40000000,0.150341,0.081769,0.00824913
10000000,AceHash;2;0.7;1;1;1;1,4,40000000,0.149992,0.0821126,0.00822588
10000000,AceHash;2;0.75;0;0;0;0,0,40000000,3.01597,0.105002,0.010877
10000000,AceHash;2;0.75;0;0;0;0,1,40000000,3.01851,0.10477,0.0109079
10000000,AceHash;2;0.75;0;0;0;0,2,40000000,3.01355,0.104694,0.0109093
10000000,AceHash;2;0.75;0;0;0;0,3,40000000,3.01696,0.104858,0.0108889
10000000,AceHash;2;0.75;0;0;0;0,4,40000000,3.01859,0.104786,0.0108923
