Experiment,Number of keys,Algorithm,Parameters,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
2,10000000,BBHash;0,2.000000,1,37100160,1.11411,7.61485,0.595579
2,10000000,BBHash;0,2.000000,2,37100160,0.990476,7.52967,0.593556
2,10000000,BBHash;0,2.000000,3,37100160,0.988839,7.53818,0.593311
2,10000000,BBHash;0,2.000000,4,37100160,1.00972,7.53196,0.593349
2,10000000,BBHash;1,2.000000,0,37100160,0.218857,7.58756,0.594194
2,10000000,BBHash;1,2.000000,1,37100160,0.21788,7.57949,0.594322
2,10000000,BBHash;1,2.000000,2,37100160,0.217929,7.55966,0.594453
2,10000000,BBHash;1,2.000000,3,37100160,0.218014,7.73807,0.594396
2,10000000,BBHash;1,2.000000,4,37100160,0.217017,7.59337,0.594248
2,10000000,PTHash;dictionary-dictionary;1,8;0.98,0,35036256,2.90129,2.54904,0.247839
2,10000000,PTHash;dictionary-dictionary;1,8;0.98,1,35035488,2.90267,2.54431,0.247718
